TS-123	0.999990	0.000010
TS-14	0.999990	0.000010
TS-144	0.999990	0.000010
TS-145	0.999990	0.000010
TS-15	0.999990	0.000010
TS-156	0.999990	0.000010
TS-16	0.999990	0.000010
TS-164	0.999990	0.000010
TS-17	0.999990	0.000010
TS-18	0.999990	0.000010
TS-182	0.999990	0.000010
TS-19	0.999990	0.000010
TS-21	0.999990	0.000010
TS-23	0.999990	0.000010
TS-24	0.999990	0.000010
TS-244	0.999990	0.000010
TS-265	0.999990	0.000010
TS-266	0.999990	0.000010
TS-267	0.999990	0.000010
TS-291	0.999990	0.000010
TS-411	0.999990	0.000010
TS-412	0.999990	0.000010
TS-413	0.999990	0.000010
TS-414	0.999990	0.000010
TS-415	0.999990	0.000010
TS-416	0.999990	0.000010
TS-417	0.999990	0.000010
TS-420	0.999990	0.000010
TS-421	0.999990	0.000010
TS-422	0.999990	0.000010
TS-424	0.999990	0.000010
TS-425	0.999990	0.000010
TS-434	0.999990	0.000010
TS-435	0.999990	0.000010
TS-437	0.999990	0.000010
TS-439	0.999990	0.000010
TS-440	0.999990	0.000010
TS-441	0.999990	0.000010
TS-77	0.999990	0.000010
TS-79	0.999990	0.000010
TS-92	0.999990	0.000010
TS-429	0.963090	0.036910
TS-438	0.962467	0.037533
TS-419	0.951770	0.048230
TS-22	0.916701	0.083299
TS-50	0.856733	0.143267
TS-418	0.847167	0.152833
TS-20	0.774412	0.225588
TS-410	0.685489	0.314511
TS-124	0.522587	0.477413
TS-433	0.239257	0.760743
TS-432	0.019487	0.980513
TS-222	0.007036	0.992964
TS-134	0.968905	0.031095
TS-116	0.865300	0.134700
TS-96	0.823487	0.176513
TS-301	0.795996	0.204004
TS-53	0.754750	0.245250
TS-33	0.720664	0.279336
TS-148	0.690415	0.309585
TS-34	0.689703	0.310297
TS-97	0.676083	0.323917
TS-149	0.665954	0.334046
TS-423	0.609266	0.390734
TS-216	0.573588	0.426412
TS-431	0.569406	0.430594
TS-300	0.553114	0.446886
TS-223	0.546833	0.453167
TS-39	0.506161	0.493839
TS-37	0.503279	0.496721
TS-248	0.503232	0.496768
TS-430	0.475906	0.524094
TS-427	0.473612	0.526388
TS-158	0.441397	0.558603
TS-295	0.420689	0.579311
TS-13	0.414455	0.585545
TS-56	0.410420	0.589580
TS-105	0.409978	0.590022
TS-262	0.368964	0.631036
TS-36	0.352873	0.647127
TS-289	0.350276	0.649724
TS-38	0.348843	0.651157
TS-238	0.313468	0.686532
TS-273	0.301045	0.698955
TS-299	0.293958	0.706042
TS-436	0.287472	0.712528
TS-209	0.278151	0.721849
TS-240	0.277314	0.722686
TS-231	0.277151	0.722849
TS-84	0.274676	0.725324
TS-118	0.273161	0.726839
TS-94	0.272943	0.727057
TS-428	0.257869	0.742131
TS-64	0.253524	0.746476
TS-87	0.250801	0.749199
TS-57	0.244931	0.755069
TS-258	0.236708	0.763292
TS-227	0.223650	0.776350
TS-205	0.222677	0.777323
TS-62	0.222233	0.777767
TS-260	0.213227	0.786773
TS-71	0.200814	0.799186
TS-247	0.197753	0.802247
TS-107	0.193645	0.806355
TS-66	0.191790	0.808210
TS-287	0.181871	0.818129
TS-54	0.168579	0.831421
TS-298	0.160878	0.839122
TS-109	0.152322	0.847678
TS-106	0.150033	0.849967
TS-98	0.141161	0.858839
TS-138	0.139876	0.860124
TS-119	0.128215	0.871785
TS-129	0.124468	0.875532
TS-187	0.124385	0.875615
TS-40	0.116732	0.883268
TS-304	0.106940	0.893060
TS-26	0.101579	0.898421
TS-31	0.097360	0.902640
TS-254	0.093935	0.906065
TS-221	0.087465	0.912535
TS-67	0.081622	0.918378
TS-30	0.042822	0.957178
TS-426	0.036737	0.963263
TS-35	0.035381	0.964619
TS-25	0.027338	0.972662
TS-303	0.003062	0.996938
TS-284	0.001518	0.998482
TS-120	0.000010	0.999990
TS-131	0.000010	0.999990
TS-154	0.000010	0.999990
TS-165	0.000010	0.999990
TS-181	0.000010	0.999990
TS-189	0.000010	0.999990
TS-202	0.000010	0.999990
TS-213	0.000010	0.999990
TS-219	0.000010	0.999990
TS-229	0.000010	0.999990
TS-230	0.000010	0.999990
TS-233	0.000010	0.999990
TS-243	0.000010	0.999990
TS-250	0.000010	0.999990
TS-252	0.000010	0.999990
TS-257	0.000010	0.999990
TS-27	0.000010	0.999990
TS-271	0.000010	0.999990
TS-280	0.000010	0.999990
TS-28	0.000010	0.999990
TS-281	0.000010	0.999990
TS-283	0.000010	0.999990
TS-286	0.000010	0.999990
TS-290	0.000010	0.999990
TS-29	0.000010	0.999990
TS-294	0.000010	0.999990
TS-302	0.000010	0.999990
TS-32	0.000010	0.999990
TS-61	0.000010	0.999990
TS-63	0.000010	0.999990
TS-65	0.000010	0.999990
TS-70	0.000010	0.999990
TS-72	0.000010	0.999990
TS-75	0.000010	0.999990
TS-83	0.000010	0.999990
TS-91	0.000010	0.999990
TS-99	0.000010	0.999990
